height(cm),weight(kg),gender,size
167.64000000000001,77.1107029,Male,XL-Large
177.8,88.45051215000001,Male,XX-Large
177.8,88.45051215000001,Male,XX-Large
180.34,102.51187562000001,Male,X-Large
162.56,62.142154690000005,Male,Medium
175.26,95.2543977,Male,XX-Large
180.34,80.28584949,Male,XX-Large
177.8,71.66759446,Male,Medium
187.96,70.30681735,Male,Medium
182.88,117.9340162,Male,XX-Large
170.18,87.99691978,Male,XL-Large
180.34,74.84274105,Male,XL-Large
175.26,79.37866475,Male,XL-Large
177.8,79.37866475,Male,XL-Large
172.72,79.37866475,Male,XL-Large
218.44,75.74992579,Male,Medium
175.26,85.72895793,Male,XL-Large
195.58,94.34721296000001,Male,XL-Large
180.34,92.98643585,Male,XL-Large
182.88,83.91458845000001,Male,XL-Large
190.5,90.718474,Male,Large
187.96,84.82177319,Male,XL-Large
182.88,93.89362059,Male,XX-Large
180.34,75.74992579,Male,Medium
180.34,64.41011654,Male,Medium
172.72,70.30681735,Male,Large
185.42000000000002,81.6466266,Male,Large
177.8,77.56429527,Male,XL-Large
175.26,124.28430938000001,Male,3X-Large
180.34,96.61517481,Male,X-Large
162.56,70.30681735,Male,Large
167.64000000000001,58.05982336,Male,Medium
180.34,93.44002822,Male,Large
180.34,70.30681735,Male,Medium
172.72,92.98643585,Male,XX-Large
175.26,79.37866475,Male,XL-Large
185.42000000000002,91.17206637000001,Male,XL-Large
165.1,58.9670081,Male,Medium
167.64000000000001,72.57477920000001,Male,XL-Large
180.34,95.2543977,Male,X-Large
187.96,70.30681735,Male,Medium
175.26,74.84274105,Male,Medium
175.26,92.53284348000001,Male,X-Large
185.42000000000002,77.1107029,Male,Medium
195.58,88.45051215000001,Male,XL-Large
193.04,68.0388555,Male,Medium
190.5,74.84274105,Male,Medium
180.34,77.1107029,Male,Large
182.88,106.59420695,Male,X-Large
170.18,68.0388555,Male,Large
203.2,99.79032140000001,Male,X-Large
172.72,79.37866475,Male,XX-Large
185.42000000000002,90.718474,Male,Large
172.72,67.58526313,Male,Large
180.34,83.91458845000001,Male,XL-Large
172.72,68.94604024,Male,XL-Large
175.26,95.2543977,Male,XX-Large
162.56,86.1825503,Male,X-Large
180.34,83.91458845000001,Male,XL-Large
172.72,80.73944186,Male,XL-Large
198.12,99.79032140000001,Male,XL-Large
172.72,70.76040972,Male,Medium
175.26,63.502931800000006,Male,Medium
172.72,88.45051215000001,Male,XX-Large
172.72,81.6466266,Male,XX-Large
170.18,81.19303423000001,Male,XL-Large
